++++ EVENT no. 1 ++++
 i = 28	mother = 20	pdg = 11	name = e-	daughter = -1	eta = 0.01458	p_x = -0.00006	p_y = -0.00019	p_z = 0.00000	m = 0.00051
++++ EVENT no. 4 ++++
 i = 0	mother = -1	pdg = 11	name = e-	daughter = 20	eta = -0.18409	p_x = 0.90157	p_y = -1.05916	p_z = -0.25750	m = 0.00051
 i = 1	mother = -1	pdg = -11	name = e+	daughter = 2	eta = 0.71015	p_x = -0.94553	p_y = 1.06019	p_z = 1.09578	m = 0.00051
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.34000	p_x = -0.00023	p_y = -0.00001	p_z = -0.00008	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.62123	p_x = -0.00003	p_y = 0.00025	p_z = -0.00017	m = 0.00051
 i = 4	mother = 1	pdg = 22	name = gamma	daughter = 12	eta = 0.70426	p_x = -0.01414	p_y = 0.03654	p_z = 0.02993	m = 0.00000
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.13352	p_x = 0.00005	p_y = -0.00004	p_z = 0.00009	m = 0.00051
 i = 6	mother = 1	pdg = 11	name = e-	daughter = 11	eta = -0.71311	p_x = -0.00002	p_y = 0.00015	p_z = -0.00012	m = 0.00051
 i = 7	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.31895	p_x = 0.00011	p_y = -0.00000	p_z = -0.00004	m = 0.00051
 i = 8	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.42166	p_x = -0.00023	p_y = 0.00022	p_z = 0.00014	m = 0.00051
 i = 9	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.20054	p_x = 0.00010	p_y = -0.00004	p_z = -0.00002	m = 0.00051
 i = 10	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.66040	p_x = 0.00019	p_y = 0.00001	p_z = -0.00014	m = 0.00051
 i = 11	mother = 6	pdg = 11	name = e-	daughter = -1	eta = -1.28638	p_x = -0.00006	p_y = 0.00000	p_z = -0.00010	m = 0.00051
 i = 12	mother = 4	pdg = 11	name = e-	daughter = 18	eta = 0.70124	p_x = -0.00161	p_y = 0.00456	p_z = 0.00367	m = 0.00051
 i = 13	mother = 4	pdg = -11	name = e+	daughter = 14	eta = 0.70464	p_x = -0.01253	p_y = 0.03196	p_z = 0.02624	m = 0.00051
 i = 14	mother = 13	pdg = 11	name = e-	daughter = -1	eta = 1.40051	p_x = -0.00006	p_y = -0.00007	p_z = 0.00018	m = 0.00051
 i = 15	mother = 13	pdg = 11	name = e-	daughter = -1	eta = 0.18407	p_x = 0.00001	p_y = -0.00012	p_z = 0.00002	m = 0.00051
 i = 16	mother = 13	pdg = 11	name = e-	daughter = -1	eta = -0.78774	p_x = -0.00002	p_y = -0.00009	p_z = -0.00008	m = 0.00051
 i = 17	mother = 13	pdg = 11	name = e-	daughter = -1	eta = -0.81317	p_x = -0.00007	p_y = -0.00011	p_z = -0.00012	m = 0.00051
 i = 18	mother = 12	pdg = 11	name = e-	daughter = -1	eta = 0.59781	p_x = -0.00012	p_y = -0.00000	p_z = 0.00008	m = 0.00051
 i = 19	mother = 12	pdg = 11	name = e-	daughter = -1	eta = -0.49443	p_x = -0.00006	p_y = -0.00017	p_z = -0.00009	m = 0.00051
 i = 20	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.81701	p_x = -0.00010	p_y = -0.00011	p_z = -0.00014	m = 0.00051
 i = 21	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.10573	p_x = 0.00011	p_y = 0.00009	p_z = -0.00002	m = 0.00051
 i = 22	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.18324	p_x = 0.00009	p_y = 0.00008	p_z = 0.00002	m = 0.00051
 i = 23	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.70308	p_x = -0.00004	p_y = -0.00010	p_z = 0.00008	m = 0.00051
